i0_A_per_cm2,ih_A_per_cm2,R_ohm_cm2
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.04061
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.0406
1.9069899999999998e-07,0.002,0.04061
1.9069899999999998e-07,0.002,0.04061
